zawodnik,pozycja,dystans_km,okrazenia,srednia_predkosc,tempo_start_kmh,predkosc_0_6h,predkosc_6_12h,predkosc_12_18h,predkosc_18_24h,dystans_0_6h,dystans_6_12h,dystans_12_18h,dystans_18_24h,pct_dystans_1pol,wskaznik_zaniku,cv_tempa_proc,ssr_zdarzenia,najszybsze_kmh,najwolniejsze_kmh,cv_klasa,fade_klasa
PIOTROWSKI Marek,1,258.75,150,11.03,12.02,11.93,11.37,10.89,9.63,70.7,67.3,65.5,55.2,53.3,0.807,10.2,0,12.49,5.89,elita,elita
NAPIÓRKOWSKI Mariusz,2,255.3,148,10.79,11.13,11.17,11.22,10.99,9.62,65.5,67.3,65.5,56.9,52.0,0.862,8.4,0,11.83,7.11,elita,elita
WOŚ Rafal,3,251.85,146,10.67,11.55,11.5,11.12,10.37,9.45,67.3,67.3,62.1,55.2,53.4,0.822,9.1,0,11.85,6.98,elita,elita
MAŁYSZEK Leszek,4,244.95,142,10.47,12.2,11.93,11.15,9.74,8.32,70.7,67.3,56.9,50.0,56.3,0.697,14.3,0,12.39,6.46,elita,zbyt duży zanik
SCEGAUSKAS Tadas,5,239.78,139,10.97,12.4,12.38,12.22,10.23,6.57,72.5,74.2,58.6,34.5,61.2,0.531,21.6,1,12.8,3.46,elita,zbyt duży zanik
BEREZNOWSKA Patrycja,6,232.88,135,10.38,10.89,11.12,11.13,10.53,7.67,65.5,67.3,60.4,39.7,57.0,0.689,16.4,1,11.35,2.27,elita,zbyt duży zanik
VACE-VECVAGARE Sigita,7,213.9,124,9.26,10.09,10.33,10.02,8.88,6.98,60.4,60.4,53.5,39.7,56.5,0.675,15.2,0,10.88,3.62,elita,zbyt duży zanik
SZYSZKOWSKI Marcin,8,212.18,123,9.08,10.46,10.39,9.75,8.07,7.5,62.1,56.9,48.3,44.9,56.1,0.722,14.8,0,11.01,6.14,elita,sub-elita
SUPERSON Magdalena,9,208.72,121,9.22,11.38,11.2,9.62,8.02,6.8,65.5,56.9,46.6,39.7,58.7,0.607,21.3,0,11.76,4.93,elita,zbyt duży zanik
SKROBAŁA Dariusz,10,207.0,120,9.16,11.16,10.78,9.41,7.99,7.64,63.8,55.2,44.9,43.1,57.5,0.709,19.4,1,11.39,2.7,elita,sub-elita
